Dia,Cuartel,Valor
Dia 13,cuartel_55,2846880.0
Dia 15,cuartel_1,1238240.0000000002
Dia 16,cuartel_1,760000.0
Dia 16,cuartel_38,1866000.0
Dia 17,cuartel_49,1884571.4285714284
Dia 23,cuartel_51,2007440.0
Dia 25,cuartel_31,1517428.5714285714
Dia 25,cuartel_56,1696428.5714285711
Dia 26,cuartel_19,1786719.9999999998
Dia 26,cuartel_51,213280.00000000012
Dia 27,cuartel_9,1698720.0
Dia 27,cuartel_19,301440.0
Dia 28,cuartel_9,462960.0
Dia 28,cuartel_44,1037040.0
Dia 29,cuartel_6,1425000.000000002
Dia 29,cuartel_20,1897142.8571428573
Dia 29,cuartel_25,1724399.9999999998
Dia 29,cuartel_40,483809.5238095236
Dia 30,cuartel_7,27857.142857143503
Dia 30,cuartel_60,1663428.5714285714
Dia 31,cuartel_5,1171047.6190476187
Dia 31,cuartel_40,1209904.7619047621
Dia 32,cuartel_5,587809.5238095241
Dia 32,cuartel_7,1017857.1428571428
Dia 32,cuartel_57,126476.19047619007
Dia 34,cuartel_7,1531714.2857142847
Dia 34,cuartel_16,1864400.0
Dia 34,cuartel_17,1146857.1428571437
Dia 34,cuartel_18,1425000.0
Dia 34,cuartel_57,1507936.507936508
Dia 35,cuartel_14,2082285.7142857143
Dia 35,cuartel_57,169587.30158730192
Dia 36,cuartel_58,1964571.4285714286
Dia 37,cuartel_15,1988571.4285714284
Dia 37,cuartel_17,689999.9999999999
Dia 37,cuartel_23,1966285.714285714
Dia 37,cuartel_57,285.7142857142857
Dia 39,cuartel_3,1950000.0
Dia 39,cuartel_22,31860.000000000015
Dia 39,cuartel_29,1916640.0
Dia 41,cuartel_42,1242240.0
Dia 41,cuartel_47,983280.0
Dia 41,cuartel_54,1228320.0
Dia 43,cuartel_22,2137440.0
Dia 44,cuartel_2,212071.42857166394
Dia 44,cuartel_33,1.1784285619117323
Dia 44,cuartel_41,1796857.1428561935
Dia 44,cuartel_43,2047679.9999999998
Dia 46,cuartel_2,2.5085292425622564e-06
Dia 46,cuartel_11,1834400.0
Dia 46,cuartel_33,2356855.964428581
Dia 46,cuartel_41,9.042148271074289e-07
Dia 46,cuartel_53,179285.68742856794
Dia 47,cuartel_2,1508285.7142857143
Dia 48,cuartel_46,1687600.0
Dia 48,cuartel_59,1504800.0
Dia 49,cuartel_28,1266666.6666666667
Dia 50,cuartel_4,2135280.0
Dia 50,cuartel_52,2052000.0
Dia 50,cuartel_53,1696428.5714285714
Dia 51,cuartel_35,1266666.6666666667
Dia 51,cuartel_39,1425000.0
Dia 54,cuartel_24,1507936.5079365082
Dia 54,cuartel_37,1507936.5079365082
Dia 56,cuartel_10,3024240.0
Dia 56,cuartel_34,94879.999999983
Dia 58,cuartel_27,1425000.0
Dia 59,cuartel_30,2022000.0
Dia 59,cuartel_34,1.3922196728799688e-08
Dia 60,cuartel_34,1900000.0000000172
Dia 63,cuartel_48,1923428.5714285714
Dia 64,cuartel_8,69333.33333333337
Dia 64,cuartel_21,1846399.9999999998
Dia 64,cuartel_32,2880480.0
Dia 66,cuartel_13,1845428.5714285716
Dia 68,cuartel_8,1266666.666666679
Dia 68,cuartel_26,2027039.9999999998
Dia 69,cuartel_45,2016000.0
Dia 69,cuartel_50,2168160.0
Dia 73,cuartel_12,218190.47619047525
Dia 73,cuartel_36,972285.7142857148
Dia 74,cuartel_36,714285.7142857143
Dia 76,cuartel_12,904761.9047619395
