Dia,Cuartel,cosecha
Dia 12,-> 1.0,27.43
Dia 13,-> 55.0,106.76
Dia 16,-> 1.0,47.5
Dia 16,-> 38.0,58.78
Dia 17,-> 49.0,59.36
Dia 23,-> 9.0,8.25
Dia 23,-> 51.0,83.28
Dia 25,-> 31.0,42.49
Dia 25,-> 56.0,54.14
Dia 26,-> 19.0,76.11
Dia 27,-> 9.0,69.06
Dia 27,-> 19.0,2.19
Dia 28,-> 9.0,3.75
Dia 28,-> 44.0,38.89
Dia 29,-> 6.0,28.5
Dia 29,-> 20.0,59.76
Dia 29,-> 25.0,38.8
Dia 30,-> 60.0,38.36
Dia 31,-> 5.0,33.51
Dia 31,-> 40.0,53.35
Dia 32,-> 7.0,72.17
Dia 32,-> 17.0,3.36
Dia 32,-> 60.0,8.22
Dia 33,-> 5.0,21.89
Dia 33,-> 18.0,47.5
Dia 33,-> 57.0,25.61
Dia 34,-> 16.0,41.95
Dia 34,-> 17.0,47.5
Dia 35,-> 14.0,63.79
Dia 35,-> 57.0,31.21
Dia 36,-> 58.0,61.88
Dia 37,-> 14.0,1.81
Dia 37,-> 15.0,55.68
Dia 37,-> 23.0,61.94
Dia 39,-> 3.0,39.0
Dia 39,-> 22.0,1.06
Dia 39,-> 29.0,63.89
Dia 41,-> 42.0,46.58
Dia 41,-> 43.0,10.19
Dia 41,-> 47.0,36.87
Dia 41,-> 54.0,46.06
Dia 43,-> 22.0,71.25
Dia 44,-> 33.0,58.51
Dia 44,-> 41.0,42.23
Dia 44,-> 43.0,66.6
Dia 46,-> 11.0,41.27
Dia 47,-> 2.0,47.5
Dia 47,-> 33.0,7.48
Dia 47,-> 53.0,15.02
Dia 48,-> 46.0,33.75
Dia 48,-> 59.0,30.1
Dia 49,-> 28.0,28.5
Dia 50,-> 4.0,80.07
Dia 50,-> 52.0,46.17
Dia 50,-> 53.0,37.5
Dia 51,-> 35.0,47.5
Dia 51,-> 39.0,47.5
Dia 54,-> 24.0,47.5
Dia 54,-> 37.0,47.5
Dia 56,-> 10.0,95.0
Dia 58,-> 27.0,28.5
Dia 59,-> 10.0,5.81
Dia 59,-> 30.0,63.69
Dia 59,-> 34.0,74.81
Dia 63,-> 48.0,60.59
Dia 64,-> 8.0,1.56
Dia 64,-> 21.0,41.54
Dia 64,-> 32.0,108.02
Dia 66,-> 13.0,58.13
Dia 66,-> 45.0,1.87
Dia 68,-> 26.0,76.01
Dia 69,-> 45.0,61.63
Dia 69,-> 50.0,81.31
Dia 73,-> 36.0,47.5
Dia 76,-> 12.0,59.19
Dia 76,-> 36.0,5.63
