Dia,Cuartel,Valor
Dia 12,cuartel_1,731573.3333333335
Dia 13,cuartel_55,2846880.0
Dia 16,cuartel_1,1266666.6666666667
Dia 16,cuartel_38,1866000.0
Dia 17,cuartel_49,1884571.4285714284
Dia 23,cuartel_9,220053.33333333337
Dia 23,cuartel_51,2220720.0
Dia 25,cuartel_31,1517428.5714285714
Dia 25,cuartel_56,1933714.285714286
Dia 26,cuartel_19,2029600.0
Dia 27,cuartel_9,1841680.0
Dia 27,cuartel_19,58320.00000000001
Dia 28,cuartel_9,99920.00000000019
Dia 28,cuartel_44,1037040.0
Dia 29,cuartel_6,1425000.0000000477
Dia 29,cuartel_20,1897142.8571428573
Dia 29,cuartel_25,1724399.9999999998
Dia 30,cuartel_60,1369857.142857144
Dia 31,cuartel_5,1063809.5238095236
Dia 31,cuartel_40,1693714.2857142857
Dia 32,cuartel_7,2577428.5714285714
Dia 32,cuartel_17,120071.42857142817
Dia 32,cuartel_60,293428.5714285714
Dia 33,cuartel_5,694857.1428571428
Dia 33,cuartel_18,1425000.0
Dia 33,cuartel_57,813079.365079365
Dia 34,cuartel_16,1864400.0
Dia 34,cuartel_17,1696428.5714285718
Dia 35,cuartel_14,2024952.380952381
Dia 35,cuartel_57,990920.634920635
Dia 36,cuartel_58,1964571.4285714286
Dia 37,cuartel_14,57333.33333333316
Dia 37,cuartel_15,1988571.4285714284
Dia 37,cuartel_17,20357.14285714309
Dia 37,cuartel_23,1966285.714285714
Dia 39,cuartel_3,1950000.0
Dia 39,cuartel_22,31860.000000000015
Dia 39,cuartel_29,1916640.0
Dia 41,cuartel_42,1242240.0
Dia 41,cuartel_43,271679.9999999998
Dia 41,cuartel_47,983280.0
Dia 41,cuartel_54,1228320.0
Dia 43,cuartel_22,2137440.0
Dia 44,cuartel_2,0.04101312515378731
Dia 44,cuartel_33,2089714.285714283
Dia 44,cuartel_41,1508214.436187916
Dia 44,cuartel_43,1776000.0
Dia 46,cuartel_11,1834400.0
Dia 46,cuartel_33,0.3018926048806555
Dia 46,cuartel_53,1.9683559278639275
Dia 47,cuartel_2,1696428.5714285714
Dia 47,cuartel_33,267142.55525025225
Dia 47,cuartel_53,536427.9652217631
Dia 48,cuartel_46,1687600.0
Dia 48,cuartel_59,1504800.0
Dia 49,cuartel_28,1266666.6666666695
Dia 50,cuartel_4,2135280.0
Dia 50,cuartel_52,2052000.0
Dia 50,cuartel_53,1339428.5714285714
Dia 51,cuartel_35,1266666.6666666644
Dia 51,cuartel_39,1425000.0000000042
Dia 54,cuartel_24,1507936.5079368325
Dia 54,cuartel_37,1507936.5079368413
Dia 56,cuartel_10,2850000.002285595
Dia 58,cuartel_27,1425000.0
Dia 59,cuartel_10,174240.0
Dia 59,cuartel_30,2022000.0
Dia 59,cuartel_34,1994880.0
Dia 63,cuartel_48,1923428.5714285714
Dia 64,cuartel_8,69333.33333333337
Dia 64,cuartel_21,1846399.9999999998
Dia 64,cuartel_32,2880480.0
Dia 66,cuartel_13,1845428.5714285716
Dia 66,cuartel_45,59333.3333333331
Dia 68,cuartel_26,2027039.9999999998
Dia 69,cuartel_45,1956571.4285714289
Dia 69,cuartel_50,2168160.0
Dia 73,cuartel_36,1507936.507936508
Dia 76,cuartel_12,1879142.8571428568
Dia 76,cuartel_36,178857.14285714284
