Dia,Cuartel,Valor
Dia 13,cuartel_55,2533333.3333333335
Dia 16,cuartel_1,1900000.0
Dia 16,cuartel_38,1866028.5714285716
Dia 17,cuartel_49,1884457.142857143
Dia 23,cuartel_51,2220792.0
Dia 25,cuartel_31,1517485.7142857143
Dia 25,cuartel_56,1933571.4285714286
Dia 26,cuartel_19,2088000.0
Dia 27,cuartel_9,2161608.0
Dia 28,cuartel_20,1897142.8571428573
Dia 29,cuartel_6,1425000.0000000335
Dia 29,cuartel_25,1724439.9999999998
Dia 29,cuartel_44,1037064.0
Dia 30,cuartel_7,32857.142857142666
Dia 30,cuartel_60,1663571.4285714286
Dia 31,cuartel_40,1190476.1904761905
Dia 32,cuartel_5,1758742.8571428568
Dia 32,cuartel_40,503180.9523809524
Dia 32,cuartel_57,119028.57142857164
Dia 34,cuartel_7,2544628.571428572
Dia 34,cuartel_14,100628.5714285715
Dia 34,cuartel_16,1864440.0
Dia 34,cuartel_17,155328.5714285766
Dia 34,cuartel_18,1425000.0
Dia 34,cuartel_57,1685085.714285715
Dia 35,cuartel_14,1981600.0
Dia 36,cuartel_58,1964457.142857143
Dia 37,cuartel_15,1533556.8992746037
Dia 37,cuartel_17,1681457.1428571427
Dia 37,cuartel_23,1966342.857142857
Dia 39,cuartel_3,1950000.0
Dia 39,cuartel_22,31812.000000000124
Dia 39,cuartel_29,1916687.9999999998
Dia 40,cuartel_15,455028.5714285714
Dia 40,cuartel_33,884257.1428571427
Dia 41,cuartel_42,1242144.0
Dia 41,cuartel_43,271728.0000000004
Dia 41,cuartel_47,983208.0
Dia 41,cuartel_54,1228272.0
Dia 43,cuartel_22,2137488.0
Dia 44,cuartel_2,212128.57142857742
Dia 44,cuartel_41,1796799.9999999998
Dia 44,cuartel_43,1776000.0
Dia 46,cuartel_11,1834240.0000000002
Dia 46,cuartel_33,1472514.2857142857
Dia 46,cuartel_53,536414.1318527077
Dia 47,cuartel_2,1508228.5714285714
Dia 48,cuartel_46,1687520.0
Dia 48,cuartel_59,1505000.0
Dia 49,cuartel_28,1266666.6666666667
Dia 50,cuartel_4,2135208.0
Dia 50,cuartel_52,2052000.0
Dia 50,cuartel_53,1339285.7144285715
Dia 51,cuartel_35,1266666.6666666667
Dia 51,cuartel_39,1425000.0000000072
Dia 53,cuartel_24,1.0312636147752032e-07
Dia 54,cuartel_24,1507936.5079364514
Dia 54,cuartel_37,1507936.507937086
Dia 56,cuartel_10,3024288.0
Dia 56,cuartel_34,94927.99999999988
Dia 58,cuartel_27,1425000.0
Dia 59,cuartel_30,2021914.2857142857
Dia 60,cuartel_34,1900008.0
Dia 63,cuartel_48,1923485.7142857143
Dia 64,cuartel_8,69333.33333333344
Dia 64,cuartel_21,1846240.0
Dia 64,cuartel_32,2880528.0
Dia 66,cuartel_13,1845400.0
Dia 68,cuartel_8,1266666.6666666667
Dia 68,cuartel_26,2026944.0
Dia 69,cuartel_45,2015885.7142857143
Dia 69,cuartel_50,2168256.0
Dia 73,cuartel_36,1507936.507936508
Dia 76,cuartel_12,1879057.1428571427
Dia 76,cuartel_36,178742.85714285716
