Dia,Cuartel,Valor
Dia 13,cuartel_55,2533333.3333333335
Dia 16,cuartel_1,1900000.0
Dia 16,cuartel_38,1866028.5714285716
Dia 17,cuartel_49,1884457.142857143
Dia 23,cuartel_51,2220792.0
Dia 25,cuartel_31,1517485.7142857143
Dia 25,cuartel_56,1933571.4285714286
Dia 26,cuartel_19,2088000.0
Dia 27,cuartel_9,2161608.0
Dia 28,cuartel_44,1037064.0
Dia 29,cuartel_6,1425000.000000039
Dia 29,cuartel_20,1507936.5079365077
Dia 29,cuartel_25,1724439.9999999998
Dia 30,cuartel_7,1014999.9999999998
Dia 30,cuartel_60,1663571.4285714286
Dia 31,cuartel_20,389206.3492063496
Dia 31,cuartel_40,1071447.619047619
Dia 32,cuartel_5,1758742.8571428568
Dia 32,cuartel_7,1562485.7142857146
Dia 32,cuartel_17,982157.1428571424
Dia 32,cuartel_40,622209.5238095239
Dia 34,cuartel_16,1864440.0
Dia 34,cuartel_18,1425000.0
Dia 34,cuartel_57,1804114.2857142854
Dia 35,cuartel_14,2082228.5714285716
Dia 36,cuartel_15,1988571.4285714284
Dia 36,cuartel_17,854614.2857142864
Dia 36,cuartel_58,1964457.142857143
Dia 37,cuartel_23,1966342.857142857
Dia 39,cuartel_3,1950000.0
Dia 39,cuartel_22,31812.000000000124
Dia 39,cuartel_29,1916687.9999999998
Dia 40,cuartel_42,1242144.0
Dia 40,cuartel_47,983208.0
Dia 41,cuartel_54,1228272.0
Dia 43,cuartel_22,2137500.0
Dia 44,cuartel_41,1508214.2857142866
Dia 44,cuartel_43,2047728.0
Dia 46,cuartel_11,1834240.0000000002
Dia 46,cuartel_33,2356771.428571428
Dia 46,cuartel_53,179285.71428571444
Dia 47,cuartel_2,1696428.488572416
Dia 47,cuartel_41,0.08285615515595574
Dia 48,cuartel_2,0.05042452010225621
Dia 48,cuartel_46,1687520.0
Dia 48,cuartel_59,1505000.0
Dia 49,cuartel_28,1266666.6666666684
Dia 50,cuartel_2,1.0150610510858574e-10
Dia 50,cuartel_4,2135208.0
Dia 50,cuartel_52,2052000.0
Dia 50,cuartel_53,1696428.5714285714
Dia 51,cuartel_35,1266666.6666666667
Dia 51,cuartel_39,1425000.0000000016
Dia 55,cuartel_24,1507936.5079365755
Dia 55,cuartel_37,1507936.507936508
Dia 56,cuartel_10,2850000.0000000005
Dia 58,cuartel_10,2.1316282072803006e-11
Dia 58,cuartel_27,1425000.0
Dia 59,cuartel_10,174287.99999999965
Dia 59,cuartel_30,2021914.2857142857
Dia 59,cuartel_34,1994928.0000000016
Dia 63,cuartel_48,1923485.7142857143
Dia 64,cuartel_8,69333.33333333337
Dia 64,cuartel_21,1846240.0
Dia 64,cuartel_32,2880528.0
Dia 66,cuartel_13,1845400.0
Dia 68,cuartel_8,1266666.6666666667
Dia 68,cuartel_26,2026944.0
Dia 69,cuartel_45,2015885.7142857143
Dia 69,cuartel_50,2168256.0
Dia 73,cuartel_36,1507936.507936508
Dia 76,cuartel_12,1879057.1428571427
Dia 76,cuartel_36,178720.63492063494
