Dia,Cuartel,Valor
Dia 13,cuartel_55,2846880.0
Dia 16,cuartel_1,1998240.0000000002
Dia 16,cuartel_38,1866000.0
Dia 17,cuartel_49,1884571.4285714284
Dia 23,cuartel_51,2220720.0
Dia 25,cuartel_31,1517428.5714285714
Dia 25,cuartel_56,1696428.5714285714
Dia 26,cuartel_19,2088000.0
Dia 27,cuartel_9,2161680.0
Dia 28,cuartel_44,1037040.0
Dia 29,cuartel_6,1425000.0
Dia 29,cuartel_20,1897142.8571428573
Dia 29,cuartel_25,1266666.6666666688
Dia 30,cuartel_5,2.5376526277146436e-11
Dia 30,cuartel_60,1369857.142857142
Dia 31,cuartel_5,2.5376526277146436e-11
Dia 31,cuartel_40,1190476.1904761929
Dia 32,cuartel_5,1758857.142857143
Dia 32,cuartel_7,1715357.1428571427
Dia 32,cuartel_17,4.06024420434343e-10
Dia 32,cuartel_40,503238.09523809276
Dia 32,cuartel_57,118857.14285714344
Dia 32,cuartel_60,293571.42857142934
Dia 33,cuartel_7,862071.428571429
Dia 33,cuartel_17,1146857.1428571425
Dia 34,cuartel_14,100571.42857142913
Dia 34,cuartel_15,1988571.4285714284
Dia 34,cuartel_16,1266666.6666666712
Dia 34,cuartel_17,689999.9999999999
Dia 34,cuartel_18,1425000.0
Dia 34,cuartel_57,1685142.8571428566
Dia 35,cuartel_5,2.410769996328911e-09
Dia 35,cuartel_14,1981714.285714285
Dia 36,cuartel_58,1964571.4285714286
Dia 37,cuartel_23,1966285.714285714
Dia 37,cuartel_57,285.7142857142857
Dia 38,cuartel_42,16719.99999999912
Dia 38,cuartel_47,983280.0
Dia 39,cuartel_3,1950000.0
Dia 39,cuartel_22,31860.000000000015
Dia 39,cuartel_29,1916640.0
Dia 41,cuartel_54,1228320.0
Dia 42,cuartel_42,1225520.0000000012
Dia 43,cuartel_22,2137500.0
Dia 44,cuartel_43,2047679.9999999998
Dia 46,cuartel_2,702428.5714285714
Dia 46,cuartel_11,1834400.0
Dia 46,cuartel_33,2356857.1428571427
Dia 46,cuartel_41,1796857.142857143
Dia 46,cuartel_53,179285.71428571414
Dia 47,cuartel_2,1017857.1428571428
Dia 47,cuartel_28,1266666.6666666667
Dia 48,cuartel_46,1687600.0
Dia 48,cuartel_59,1504800.0
Dia 50,cuartel_4,2135280.0
Dia 50,cuartel_52,2052000.0
Dia 50,cuartel_53,1696428.5714285714
Dia 51,cuartel_35,1266666.6666666667
Dia 52,cuartel_39,1425000.0000000012
Dia 54,cuartel_37,1507936.507936508
Dia 55,cuartel_24,1507936.507936508
Dia 56,cuartel_10,2005979.9999999825
Dia 57,cuartel_10,1018260.0000000176
Dia 57,cuartel_34,94879.99999998328
Dia 58,cuartel_27,1425000.0
Dia 59,cuartel_30,2022000.0
Dia 60,cuartel_34,1900000.0000000168
Dia 63,cuartel_21,1846399.9999999998
Dia 63,cuartel_48,1923428.5714285714
Dia 64,cuartel_32,2880480.0
Dia 66,cuartel_13,1845428.5714285716
Dia 68,cuartel_8,1266666.6666666667
Dia 68,cuartel_26,2027039.9999999998
Dia 69,cuartel_45,2016000.0
Dia 69,cuartel_50,2168160.0
Dia 73,cuartel_36,1507936.507936508
Dia 76,cuartel_12,1879142.8571428568
Dia 76,cuartel_36,178634.92063492062
