Dia,Cuartel,Valor
Dia 13,cuartel_55,2419920.0
Dia 16,cuartel_1,1698480.0
Dia 16,cuartel_38,1507936.507936508
Dia 17,cuartel_49,1507936.507936508
Dia 23,cuartel_51,1887600.0000000002
Dia 25,cuartel_31,1017857.1428571439
Dia 25,cuartel_56,1643428.5714285716
Dia 26,cuartel_19,1774800.0
Dia 27,cuartel_9,1718960.0
Dia 28,cuartel_9,118320.0
Dia 28,cuartel_44,641680.0
Dia 29,cuartel_6,1425000.0
Dia 29,cuartel_20,1507936.507936508
Dia 30,cuartel_60,1414000.0
Dia 31,cuartel_5,1471523.8095238092
Dia 31,cuartel_16,1584800.0
Dia 31,cuartel_20,104634.92063492055
Dia 31,cuartel_25,1465600.0
Dia 31,cuartel_40,1439714.2857142857
Dia 32,cuartel_7,2190857.142857143
Dia 34,cuartel_5,23333.333333333223
Dia 34,cuartel_18,1265280.0
Dia 34,cuartel_57,1484603.1746031747
Dia 35,cuartel_14,1770000.0
Dia 35,cuartel_15,1336285.714285714
Dia 35,cuartel_17,1561142.8571428573
Dia 35,cuartel_23,163492.06349206346
Dia 35,cuartel_57,48825.39682539674
Dia 36,cuartel_58,1507936.5079365082
Dia 37,cuartel_3,1425000.0
Dia 37,cuartel_23,1507936.5079365082
Dia 39,cuartel_22,58379.99999999994
Dia 39,cuartel_29,1629120.0
Dia 40,cuartel_15,353714.28571428574
Dia 40,cuartel_33,2003142.8571428573
Dia 41,cuartel_42,1055760.0
Dia 41,cuartel_47,835680.0
Dia 41,cuartel_54,1044000.0
Dia 43,cuartel_22,1785360.0
Dia 43,cuartel_41,1527142.8571428573
Dia 44,cuartel_43,1740480.0
Dia 46,cuartel_11,1266666.6666666667
Dia 47,cuartel_2,1462285.7142857143
Dia 48,cuartel_28,1.8494687906046652
Dia 48,cuartel_46,1434400.0
Dia 48,cuartel_59,940599.9999999987
Dia 49,cuartel_11,292400.0
Dia 49,cuartel_28,1145600.0
Dia 49,cuartel_52,1744000.0
Dia 50,cuartel_4,1814880.0
Dia 50,cuartel_53,1594285.7142857143
Dia 51,cuartel_35,1122960.0
Dia 51,cuartel_39,1230240.0
Dia 54,cuartel_37,1470285.7142857143
Dia 55,cuartel_24,1496285.7142857143
Dia 55,cuartel_30,813809.523809524
Dia 56,cuartel_10,2570640.0
Dia 60,cuartel_34,1695600.0000000002
Dia 61,cuartel_27,1425000.0000000356
Dia 62,cuartel_30,904571.4285714285
Dia 63,cuartel_48,1507936.823688725
Dia 64,cuartel_8,97466.66666666669
Dia 64,cuartel_21,1569199.9999999998
Dia 64,cuartel_32,2448480.0
Dia 66,cuartel_13,1496285.7142857146
Dia 69,cuartel_13,72285.71428571429
Dia 69,cuartel_26,1722960.0000000002
Dia 69,cuartel_45,1713428.5714285714
Dia 69,cuartel_50,1842960.0000000002
Dia 70,cuartel_8,1038400.0
Dia 73,cuartel_36,1433714.2857142857
Dia 76,cuartel_12,1597142.8571428573
