Dia,Cuartel,cosecha
Dia 13,-> 55.0,90.75
Dia 16,-> 1.0,63.69
Dia 16,-> 38.0,47.5
Dia 17,-> 49.0,47.5
Dia 23,-> 51.0,70.79
Dia 25,-> 31.0,28.5
Dia 25,-> 56.0,46.02
Dia 26,-> 19.0,66.56
Dia 27,-> 9.0,64.46
Dia 28,-> 9.0,4.44
Dia 28,-> 44.0,24.06
Dia 29,-> 6.0,28.5
Dia 29,-> 20.0,47.5
Dia 30,-> 60.0,39.59
Dia 31,-> 5.0,46.35
Dia 31,-> 16.0,35.66
Dia 31,-> 20.0,3.3
Dia 31,-> 25.0,32.98
Dia 31,-> 40.0,45.35
Dia 32,-> 7.0,61.34
Dia 34,-> 18.0,42.18
Dia 34,-> 57.0,46.77
Dia 35,-> 14.0,55.76
Dia 35,-> 15.0,37.42
Dia 35,-> 17.0,43.71
Dia 35,-> 23.0,5.15
Dia 35,-> 57.0,1.54
Dia 36,-> 58.0,47.5
Dia 37,-> 3.0,28.5
Dia 37,-> 23.0,47.5
Dia 39,-> 22.0,1.95
Dia 39,-> 29.0,54.3
Dia 40,-> 15.0,9.9
Dia 40,-> 33.0,56.09
Dia 41,-> 42.0,39.59
Dia 41,-> 47.0,31.34
Dia 41,-> 54.0,39.15
Dia 43,-> 22.0,59.51
Dia 43,-> 41.0,42.76
Dia 44,-> 43.0,65.27
Dia 46,-> 11.0,28.5
Dia 47,-> 2.0,40.94
Dia 48,-> 46.0,28.69
Dia 48,-> 59.0,18.81
Dia 49,-> 11.0,6.58
Dia 49,-> 28.0,25.78
Dia 49,-> 52.0,39.24
Dia 50,-> 4.0,68.06
Dia 50,-> 53.0,44.64
Dia 51,-> 35.0,42.11
Dia 51,-> 39.0,41.01
Dia 54,-> 37.0,46.31
Dia 55,-> 24.0,47.13
Dia 55,-> 30.0,25.64
Dia 56,-> 10.0,85.69
Dia 60,-> 34.0,63.59
Dia 61,-> 27.0,28.5
Dia 62,-> 30.0,28.49
Dia 63,-> 48.0,47.5
Dia 64,-> 8.0,2.19
Dia 64,-> 21.0,35.31
Dia 64,-> 32.0,91.82
Dia 66,-> 13.0,47.13
Dia 69,-> 13.0,2.28
Dia 69,-> 26.0,64.61
Dia 69,-> 45.0,53.97
Dia 69,-> 50.0,69.11
Dia 70,-> 8.0,23.36
Dia 73,-> 36.0,45.16
Dia 76,-> 12.0,50.31
